TOA5,CR1000_LTBE,CR1000,11365,CR1000.Std.32.05,CPU:LTBE_v15.CR1,64585,daily,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Min,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,SlrMJ_Tot,AirTC_Max,AirTC_Min,RH_Max,RH_Min,Rain_mm_Tot,Rain_mm_2_Tot,ETosDay_mm,ETrsDay_mm,KcETosDay_mm,KcETrsDay_mm,CC_SHORT,CC_TALL
TS,RN,Volts,m/s,Deg,Deg,m/s,MJ/m^2,Deg C,Deg C,%,%,mm,mm,,,,,,
,,Min,WVc,WVc,WVc,Max,Tot,Max,Min,Max,Min,Tot,Tot,Smp,Smp,Smp,Smp,Smp,Smp
01/01/20,757,11.54,2.115,182.9,37.4,8.63,1.492142,13.24,7.884,79.36,35.56,0,0,1.240648,2.023048,1.240648,2.023048,1,1
01/02/20,758,11.43,2.624,189.6,29.02,8.58,1.583711,15.21,7.413,98.9,79.32,0.6,0.6,0.5843622,0.8457013,0.5843622,0.8457013,1,1
01/03/20,759,11.32,2.751,313,31.78,11.93,8.243134,16.9,5.75,99.2,42.98,0.1,0.2,1.956963,2.899633,1.956963,2.899633,1,1
01/04/20,760,11.25,1.602,292.6,50.16,6.01,9.582207,21.92,2.465,76.13,22.09,0,0,2.088227,2.996123,2.088227,2.996123,1,1
01/05/20,761,11.18,2.196,210,39.67,9.33,10.4173,26,4.091,72.81,18.23,0,0,3.044374,4.683916,3.044374,4.683916,1,1
01/06/20,762,11.28,1.908,329.5,69.4,10.36,9.732379,22.26,3.752,81.1,38.48,0,0,2.042993,2.69186,2.042993,2.69186,1,1
01/07/20,763,11.31,1.745,292.4,80.4,7.15,10.9289,20.06,3.481,65.83,13.72,0,0,2.286248,3.212796,2.286248,3.212796,1,1
01/08/20,764,11.59,2.993,163.1,62.09,10.61,10.4702,19.79,-0.041,79.66,25.4,0,0,2.743317,4.182115,2.743317,4.182115,1,1
01/09/20,765,11.71,4.501,173.4,14.35,10.77,2.105668,23.69,15,94.4,65.72,0,0,1.350782,2.04921,1.350782,2.04921,1,1
01/10/20,766,11.59,4.617,172.4,46.55,13.31,1.409045,23.55,13.99,96.7,56.44,32.3,31.9,1.336087,2.096236,1.336087,2.096236,1,1
01/11/20,767,11.5,3.675,348.2,51.84,12.25,7.991266,14.63,2.398,91.2,51.35,0.3,0.2,1.385552,1.977903,1.385552,1.977903,1,1
01/12/20,768,11.84,1.872,152.7,49.16,7.56,7.937463,14.8,-0.379,97.5,51.08,0,0,1.284909,1.827923,1.284909,1.827923,1,1
01/13/20,769,11.92,1.603,135.8,49.3,5.01,2.746332,16.53,7.68,99.2,79.66,0,0.1,0.5408007,0.7002134,0.5408007,0.7002134,1,1
01/14/20,770,11.9,1.326,158,70.85,4.5,3.137584,23.01,13.18,99.7,77.85,0.3,0.3,0.5885963,0.7076157,0.5885963,0.7076157,1,1
01/15/20,771,11.81,3.019,179.7,41.61,9.76,4.710309,26.38,19.01,99.5,60.17,0.1,0.1,1.465461,2.180161,1.465461,2.180161,1,1
01/16/20,772,11.67,3.192,18.67,42.07,10.88,1.474189,19.52,12.09,99.7,81,8.3,8.2,0.3448826,0.4606166,0.3448826,0.4606166,1,1
01/17/20,773,11.57,1.779,330.2,100,6.69,1.622263,15.41,9.11,100,97.2,6.7,6.6,0.2508432,0.2742473,0.2508432,0.2742473,1,1
01/18/20,774,11.42,3.907,341.6,57.17,13.3,7.883262,17.89,6.732,99.6,48.78,0,0.1,2.275481,3.41087,2.275481,3.41087,1,1
01/19/20,775,11.35,4.127,20.02,22.37,9.85,9.476181,12.9,2.059,59.6,26.82,0,0,2.699785,4.064856,2.699785,4.064856,1,1
01/20/20,776,11.3,1.359,11.81,64.39,5.44,9.359162,14.81,0.637,78.7,23.71,0,0,1.766051,2.473044,1.766051,2.473044,1,1
01/21/20,777,11.33,2.343,136.2,61.91,9,6.424265,15.21,1.517,80,29.67,0.2,0.2,1.93991,2.878646,1.93991,2.878646,1,1
01/22/20,778,11.28,2.416,115.5,37.66,6.69,0.6966489,9.99,6.19,99.8,79.31,15.4,15.6,0.1542004,0.1909844,0.1542004,0.1909844,1,1
01/23/20,779,11.17,2.65,327.3,52.44,10.28,5.42942,14.87,7.206,100,59.88,0.2,0.3,1.062786,1.55359,1.062786,1.55359,1,1
01/24/20,780,11.1,1.39,315.7,81.2,5.44,9.819518,19.76,2.398,95.4,24.32,0,0,1.771245,2.400076,1.771245,2.400076,1,1
01/25/20,781,11.45,2.43,156.6,46.55,11.66,5.27826,18.43,3.921,97.5,55.75,0.5,0.5,1.598432,2.415458,1.598432,2.415458,1,1
01/26/20,782,11.38,2.208,353.2,80.9,8.38,10.46424,23.21,10.53,99.6,36.79,0.3,0.3,2.421713,3.461242,2.421713,3.461242,1,1
01/27/20,783,11.25,2.252,138.3,75.23,7.72,5.837325,16.77,5.919,99.2,72.89,0,0,0.8630757,1.109714,0.8630757,1.109714,1,1
01/28/20,784,11.12,3.98,221.7,74.79,14.35,5.252138,20.43,7.785,98.4,37.97,9,9.2,1.511403,2.162534,1.511403,2.162534,1,1
01/29/20,785,11.06,4.268,359,31.2,12.03,9.198237,12.97,3.481,92.9,57.58,0,0,1.737352,2.450176,1.737352,2.450176,1,1
01/30/20,786,11.31,2.372,23.48,24.14,6.82,2.482878,8.63,5.242,90.3,73.55,0,0,0.5935374,0.8277221,0.5935374,0.8277221,1,1
01/31/20,787,11.13,2.01,332.5,32.47,8.31,9.767895,14.16,3.481,93.3,45.18,0,0,1.617028,2.232768,1.617028,2.232768,1,1
02/01/20,788,11.04,1.619,294.2,43.05,7.98,11.17428,21.82,1.043,92.9,18.02,0,0,2.382802,3.447974,2.382802,3.447974,1,1
02/02/20,789,11.1,2.611,219.9,48.23,10.77,12.74955,26.54,5.953,68.74,14.84,0,0,4.077755,6.138961,4.077755,6.138961,1,1
02/03/20,790,11.15,4.684,187.6,17.97,13.65,3.985858,21.65,10.94,89,53.78,0.3,0.2,1.614628,2.430922,1.614628,2.430922,1,1
02/04/20,791,10.93,4.301,294.3,95.1,12.78,6.488872,22.91,5.649,97.3,63.35,0,0,1.561895,2.103315,1.561895,2.103315,1,1
02/05/20,792,10.83,5.485,343.8,15.34,11.91,2.225223,5.784,-0.786,95.2,72.4,0.1,0.1,0.6539211,0.9488277,0.6539211,0.9488277,1,1
02/06/20,793,10.73,2.517,304.7,40.56,10.48,10.62348,11.14,-2.276,97.1,22.22,0.8,0.7,1.928653,2.84767,1.928653,2.84767,1,1
02/07/20,794,11,2.062,288.5,85,8.38,11.97554,20.43,0.095,71.25,24.59,0,0,2.884988,4.170761,2.884988,4.170761,1,1
02/08/20,795,10.96,3.005,99.6,50.53,8.61,8.467448,19.96,5.073,88.9,35.36,0,0,2.324114,3.411917,2.324114,3.411917,1,1
02/09/20,796,10.69,3.444,171.6,15.47,10.17,1.174083,21.75,15.58,96.8,85.5,1,1.1,0.4827969,0.7027732,0.4827969,0.7027732,1,1
02/10/20,797,8.77,3.985,348.3,56.25,10.27,1.348825,20.57,5.174,98.5,78.85,0.9,0.9,0.6394541,0.9753444,0.6394541,0.9753444,1,1
04/15/20,798,12.41,1.306,95.2,54.38,5.63,15.86381,18.13,10.16,73.97,39.16,0,0,2.666659,3.265728,2.666659,3.265728,1,1
04/16/20,799,12.33,2.721,155.3,33.54,9.88,20.03566,24.11,7.552,86.7,39.36,0,0,4.331356,5.859451,4.331356,5.859451,1,1
04/17/20,800,12.27,2.615,39.48,79.76,10.09,3.029629,20.5,11.48,94,72.89,0,0,0.9164797,1.256394,0.9164797,1.256394,1,1
04/18/20,801,12.23,2.09,47.01,76.61,6.49,4.655142,16.77,10.94,98.6,67.13,0,0,1.313368,1.791179,1.313368,1.791179,1,1
04/19/20,802,12.29,1.493,296,61.16,12.85,14.55354,32.63,14.39,99.7,11.79,0.4,0.4,3.498984,4.649543,3.498984,4.649543,1,1
04/20/20,803,12.34,1.705,94.5,47.73,5.67,14.88549,25.67,16.3,99.5,61.27,0,0,2.798379,3.327009,2.798379,3.327009,1,1
04/21/20,804,12.3,2.274,133.4,38.41,8.07,16.67523,28.18,17.38,99.7,55.58,0,0,3.806661,4.852385,3.806661,4.852385,1,1
04/22/20,805,12.25,2.376,192.9,35.82,7.59,2.817572,26.75,18.33,99.6,78.39,15,15.3,0.7902642,1.052131,0.7902642,1.052131,1,1
04/23/20,806,12.21,2.296,10.28,78.73,7.6,20.52592,29.55,15.61,99.4,27.86,0,0,4.818477,6.234189,4.818477,6.234189,1,1
04/24/20,807,12.32,3.428,224.8,72.27,14.47,20.57909,34.67,14.09,87.7,23.56,0,0,6.473155,9.052703,6.473155,9.052703,1,1
04/25/20,808,12.35,3.246,4.861,26.88,11.12,16.87179,23.98,14.09,80,34.9,0,0,4.641909,6.547679,4.641909,6.547679,1,1
04/26/20,809,12.29,1.592,182.9,80.1,5.73,21.63064,27.5,11.69,93.6,31.92,0,0,4.636125,5.895586,4.636125,5.895586,1,1
04/27/20,810,12.31,3.803,173.8,15.33,11.12,21.62464,29.57,14.8,96.7,38.02,0,0,5.502061,7.580375,5.502061,7.580375,1,1
04/28/20,811,12.27,3.778,169.2,21.21,10.79,16.89953,36.81,21.79,93.1,58.63,0,0,4.322435,5.762179,4.322435,5.762179,1,1
04/29/20,812,12.23,3.533,355.5,53.42,20.57,20.63433,26.35,14.13,100,22.2,37.3,35.2,5.381445,7.61123,5.381445,7.61123,1,1
04/30/20,813,12.18,1.375,200,88.5,5.24,23.00692,27.03,11.08,84.9,31.92,0,0,4.681185,5.776945,4.681185,5.776945,1,1
05/01/20,814,12.19,3.034,176.7,20.54,9.49,21.51345,28.93,13.75,89.1,39.72,0,0,5.271377,7.158672,5.271377,7.158672,1,1
05/02/20,815,12.26,4.353,180.5,15.18,10.62,20.85964,30.7,18.33,92.1,56.74,0,0,4.91191,6.451926,4.91191,6.451926,1,1
05/03/20,816,12.19,3.881,184.5,18.14,10.68,20.49893,31.04,20.5,88.8,55.31,0,0,4.977245,6.558228,4.977245,6.558228,1,1
05/04/20,817,12.18,4.121,186.1,16.87,10.22,21.02961,32.19,21.69,89.4,48.4,0,0,5.378633,7.128696,5.378633,7.128696,1,1
05/05/20,818,12.15,3.547,39.4,71.45,11.75,8.859014,26.01,17.52,93.8,43.58,0.2,0.2,3.086307,4.529529,3.086307,4.529529,1,1
05/06/20,819,12.24,2.194,59.56,32.18,7.89,21.56209,27.71,13.95,74.24,22.84,0,0,5.282309,7.114648,5.282309,7.114648,1,1
05/07/20,820,12.29,3.594,162,64.6,13.06,16.78466,28.04,11.62,89.3,39.99,0,0,4.486587,6.175648,4.486587,6.175648,1,1
05/08/20,821,12.38,4.79,359.7,85.7,16.42,10.35002,26.62,14.6,82,49.81,0,0,3.764627,5.550543,3.764627,5.550543,1,1
05/09/20,822,12.32,2.601,63.36,33.87,8.54,19.48935,24.05,13.65,78.1,39.85,0,0,4.373287,5.739948,4.373287,5.739948,1,1
05/10/20,823,12.26,1.754,60.08,35.59,7.44,21.16546,25.27,10.8,88.1,30.87,0,0,4.51271,5.827526,4.51271,5.827526,1,1
05/11/20,824,12.22,2.411,130.3,43.49,8.01,19.22103,27.77,13.72,80.7,41.88,0,0,4.685587,6.213587,4.685587,6.213587,1,1
05/12/20,825,12.19,2.422,153.4,31.7,10.27,6.469926,24.91,17.05,98.2,70.05,4.7,4.5,1.506868,1.919726,1.506868,1.919726,1,1
05/13/20,826,12.15,2.361,160.5,25.38,7.27,11.88168,29.68,17.92,98.2,55.04,0,0,2.962063,3.848279,2.962063,3.848279,1,1
05/14/20,827,12.12,3.006,162.9,20.92,9.52,16.17002,31.65,21.25,96.7,50.16,0,0,4.236971,5.652735,4.236971,5.652735,1,1
05/15/20,828,12.09,2.62,161.9,38.65,13.52,13.20276,32.19,17.55,94.5,52.57,16,10.6,3.514823,4.62708,3.514823,4.62708,1,1
05/16/20,829,12.15,2.537,332.4,41.3,12.96,6.750347,23.08,16.78,97.6,68.7,19,22.3,1.636011,2.148085,1.636011,2.148085,1,1
05/17/20,830,12.16,1.624,333.6,43.25,8.76,17.10694,30.36,17.72,90,39.99,0,0,4.110235,5.32291,4.110235,5.32291,1,1
05/18/20,831,12.26,1.599,179.1,68.82,6.57,20.73527,32.57,16.64,96.8,43.32,0,0,4.940131,6.313156,4.940131,6.313156,1,1
05/19/20,832,12.31,2.291,179,22.87,7.87,21.14796,33.96,19.62,89.2,48.7,0,0,5.25946,6.740886,5.25946,6.740886,1,1
05/20/20,833,12.34,2.146,151,28.25,6.59,18.3546,32.81,22.47,99.2,50.47,0,0,4.416221,5.575627,4.416221,5.575627,1,1
05/21/20,834,12.35,2.659,169.8,45.6,8.61,14.82783,31.85,21.93,88.9,56.13,0,0,3.926818,5.183973,3.926818,5.183973,1,1
05/22/20,835,12.38,3.509,181.8,26.7,8.78,16.0946,33.15,23.42,93,24.46,0.1,0.1,4.631347,6.213393,4.631347,6.213393,1,1
05/23/20,836,12.36,3.042,154.6,36.9,9.41,17.67065,32.84,23.73,94.3,48.85,0.1,0,4.799871,6.370173,4.799871,6.370173,1,1
05/24/20,837,12.35,2.933,135,48.05,10.25,6.069644,29.81,19.28,95,65.13,9,5.3,1.713247,2.294376,1.713247,2.294376,1,1
05/25/20,838,12.31,2.602,10.75,33.02,9.68,13.17436,26.62,18.6,98.1,56.79,10.1,0.9,2.883317,3.689019,2.883317,3.689019,1,1
05/26/20,839,12.37,1.532,322.3,57.84,8.57,17.08655,28.7,16.91,96.1,34.3,0,0.5,3.958139,5.140967,3.958139,5.140967,1,1
05/27/20,840,12.33,1.611,117.5,92.5,13.67,13.70716,30.5,15.21,96.8,51.17,4,0.4,3.036096,3.821826,3.036096,3.821826,1,1
05/28/20,841,12.31,1.265,1.78,79.54,6.16,16.60385,29.04,16.5,97.9,55.04,0,0.1,3.699129,4.503307,3.699129,4.503307,1,1
05/29/20,842,12.35,2.631,12.22,35.47,9.65,19.70597,30.43,18.94,96.2,37.35,0,0.1,5.224368,7.123827,5.224368,7.123827,1,1
05/30/20,843,12.34,1.794,48.13,33.44,6.41,22.56582,30.5,18.47,79.91,35.05,0,0,5.375656,6.924258,5.375656,6.924258,1,1
05/31/20,844,12.29,1.63,72.4,41.63,5.82,12.62796,29.62,19.93,86.5,51.54,0,0,3.315099,4.355049,3.315099,4.355049,1,1
06/01/20,845,12.26,1.174,84.9,67.27,7.82,10.53914,29.14,19.99,95.4,59.51,3.1,1,2.565576,3.181302,2.565576,3.181302,1,1
06/02/20,846,12.21,1.488,145.8,61.29,6.38,17.09768,32.12,19.62,97.4,45.22,0,0.1,4.267847,5.423438,4.267847,5.423438,1,1
06/03/20,847,12.19,1.571,183.6,36.89,7.88,20.83496,32.89,19.89,97.3,40.14,0,0,4.749407,5.823273,4.749407,5.823273,1,1
06/04/20,848,12.19,1.835,186.1,35.16,7.85,20.84494,33.63,22.2,98.6,46.11,0,0,4.986525,6.308534,4.986525,6.308534,1,1
06/05/20,849,12.23,1.781,175.3,38.68,6.78,21.11921,33.91,22.67,96.8,46.92,0,0,5.059949,6.368685,5.059949,6.368685,1,1
06/06/20,850,12.19,1.318,37.67,63.53,6.01,21.19896,35.2,21.79,94.3,38.45,0,0,5.158184,6.427351,5.158184,6.427351,1,1
06/07/20,851,12.26,1.715,42.48,28.97,5.96,20.54455,34.05,23.02,91.7,44.28,0,0,5.070558,6.426901,5.070558,6.426901,1,1
06/08/20,852,12.25,1.366,252,88.8,7.88,21.27968,36.45,23.02,87.6,36.41,0,0,5.250462,6.503488,5.250462,6.503488,1,1
06/09/20,853,12.27,2.913,230.1,76.95,13.37,18.2032,38.08,24.32,93.8,13.22,0,0,5.688763,7.590897,5.688763,7.590897,1,1
06/10/20,854,12.27,2.234,12.65,35.53,12.2,23.77914,32.13,16.13,62.33,21.56,0,0,6.44169,8.632747,6.44169,8.632747,1,1
06/11/20,855,12.29,1.533,22.82,50.8,6.99,24.157,33.64,15.01,84.3,20.88,0,0,6.113172,8.074649,6.113172,8.074649,1,1
06/12/20,856,12.3,1.56,50.97,36.18,6.8,22.81673,32.2,18.33,74.32,30.04,0,0,5.525984,7.216003,5.525984,7.216003,1,1
06/13/20,857,12.3,1.697,62.2,35.1,6.33,23.25445,36.43,19.55,73.85,28.34,0,0,5.88532,7.783191,5.88532,7.783191,1,1
06/14/20,858,12.27,1.294,97.3,51.46,8.44,23.52605,35.57,16.64,88.1,24.88,0,0,5.573702,7.175371,5.573702,7.175371,1,1
06/15/20,859,12.25,1.649,145.9,65.22,7.47,20.27545,34.22,19.21,93.2,36.75,0,0,5.051694,6.536736,5.051694,6.536736,1,1
06/16/20,860,12.26,1.67,167.4,55.12,7.47,.,34.59,19.55,97.7,33.97,0,0,.,.,.,.,1,1
06/17/20,861,12.29,2.592,182.5,24.21,8.24,21.97981,34.24,21.89,88.6,29.42,0,0,6.166913,8.439637,6.166913,8.439637,1,1
06/18/20,862,12.26,2.712,172.9,22.1,8.7,18.19652,34.59,19.72,96,40.11,0,0,5.28847,7.216486,5.28847,7.216486,1,1
06/19/20,863,12.29,3.127,167.9,19.75,9.72,16.99482,35.2,23.22,95.1,39.4,0,0,5.262795,7.25482,5.262795,7.25482,1,1
06/20/20,864,12.29,2.188,163.6,48.69,10.12,16.24185,33.64,18.67,98.6,48.85,32.4,11.4,4.009795,5.138547,4.009795,5.138547,1,1
06/21/20,865,12.27,3.013,183.2,25.87,10.67,15.24211,35.33,23.8,95.7,44.08,0,1.2,4.590127,6.153356,4.590127,6.153356,1,1
06/22/20,866,12.29,2.854,163.8,48.58,9.27,11.24452,32.81,24.45,92.8,57.32,0.1,0,3.469045,4.706724,3.469045,4.706724,1,1
06/23/20,867,12.23,2.462,301.4,81.7,9.76,10.67852,30.56,21.45,96.1,51.86,8.2,0.1,2.757127,3.592756,2.757127,3.592756,1,1
06/24/20,868,12.24,2.118,29.59,40.59,7.57,9.57497,29.95,21.75,94.6,60.87,1.5,0.6,2.277016,2.871893,2.277016,2.871893,1,1
06/25/20,869,12.21,1.363,81.7,70.74,6.74,11.55085,31.66,20.16,98.6,53.01,0.1,0.1,2.848484,3.565417,2.848484,3.565417,1,1
06/26/20,870,12.22,3.09,174.7,19.78,12.31,14.47113,31.04,22.1,97.2,46.23,0,0,4.041038,5.573813,4.041038,5.573813,1,1
06/27/20,871,12.25,3.056,169.9,20.98,10.46,15.17663,34.2,22.2,96.5,42.1,0,0,4.716408,6.529338,4.716408,6.529338,1,1
06/28/20,872,12.25,3.995,173.5,18.22,12.72,9.819342,32.19,24.72,95.6,51.92,0,0.1,3.667274,5.373688,3.667274,5.373688,1,1
06/29/20,873,12.23,4.249,179,16.92,12.46,11.42297,33.62,25.6,89.4,50.3,0,0,4.437078,6.486347,4.437078,6.486347,1,1
06/30/20,874,12.22,4.128,184.7,16.8,11.74,11.72614,34,26.21,87.3,51.05,0,0,4.375163,6.353577,4.375163,6.353577,1,1
07/01/20,875,12.23,3.188,183.6,17.93,9.38,11.14233,34.79,25.2,92.2,52.01,0,0,3.853831,5.392044,3.853831,5.392044,1,1
07/02/20,876,12.22,2.449,185.3,27.63,8.5,17.32366,36.96,26.01,93.4,30.79,0,0,5.222039,7.10771,5.222039,7.10771,1,1
07/03/20,877,12.23,2.056,184.9,43.81,7.55,19.66484,38.34,22.88,94.4,20.62,0,0,5.618135,7.419013,5.618135,7.419013,1,1
07/04/20,878,12.23,1.453,177.6,52.71,5.97,20.2181,37.94,20.85,94,28.42,0,0,5.364898,6.994772,5.364898,6.994772,1,1
07/05/20,879,12.22,1.658,166.4,58.45,5.73,13.61973,37.64,23.71,88.2,36.48,0,0,4.017155,5.273245,4.017155,5.273245,1,1
07/06/20,880,12.21,2.023,164.7,59.05,7.64,11.57297,34.85,25.06,92.9,42.85,0,0,3.843493,5.297646,3.843493,5.297646,1,1
07/07/20,881,12.19,2.252,146.9,67.29,11.05,8.369269,32.61,23.88,91,50.81,1,1.2,2.649881,3.590708,2.649881,3.590708,1,1
07/08/20,882,12.26,2.651,178.3,28.66,8.11,14.57968,36.49,24.22,96.7,44.35,0,0,4.790724,6.636491,4.790724,6.636491,1,1
07/09/20,883,12.24,3.626,186.3,18.98,10.67,18.02087,36.89,25.6,87.1,37.63,0,0,6.02876,8.414789,6.02876,8.414789,1,1
07/10/20,884,12.25,2.49,170.9,30.04,8.13,18.52447,38.28,24.18,94.6,38.26,0,0,5.40792,7.218137,5.40792,7.218137,1,1
07/11/20,885,12.24,2.277,186.5,23.21,6.97,20.29985,38.95,24.32,94.4,28.15,0,0,5.866319,7.857168,5.866319,7.857168,1,1
07/12/20,886,12.23,2.267,174.2,43.69,8.97,18.78958,40.28,24.72,92.2,28.29,0,0,5.791984,7.918303,5.791984,7.918303,1,1
07/13/20,887,12.2,2.532,184.2,24.06,10.44,20.47285,40.92,25.33,91.7,21.23,0,0,6.773417,9.399263,6.773417,9.399263,1,1
07/14/20,888,12.16,3.658,183.2,18.35,10.89,21.02179,40.11,24.01,93.9,22.25,0,0,7.566742,10.86701,7.566742,10.86701,1,1
07/15/20,889,12.16,3.336,185.7,19.8,9.31,18.38053,37.59,25.13,86.4,34.11,0,0,6.016273,8.346592,6.016273,8.346592,1,1
07/16/20,890,12.13,2.503,178.3,30.69,7.44,20.03692,38.28,24.59,89.9,27.23,0,0,5.975334,8.009083,5.975334,8.009083,1,1
07/17/20,891,11.28,2.098,161.6,43.26,8.94,19.2812,37.24,23.71,91.8,36.08,0,0,5.696257,7.564843,5.696257,7.564843,1,1
07/18/20,892,11.68,2.082,158,28.31,7.65,17.49162,36.08,22.82,94.4,38.24,0,0,4.983993,6.614296,4.983993,6.614296,1,1
07/19/20,893,12.06,1.642,169.9,44.86,6.86,18.22316,37.1,23.03,91.4,32.48,0.4,0.4,4.96722,6.412853,4.96722,6.412853,1,1
07/20/20,894,12.12,1.839,128.8,61.18,7.91,18.26942,36.62,21.73,95.7,33.3,0,0,5.18486,6.800511,5.18486,6.800511,1,1
07/21/20,895,12.07,1.669,110.9,35.79,8.41,13.37077,34.89,23.37,95.1,46.92,0,0,3.608158,4.674906,3.608158,4.674906,1,1
07/22/20,896,12.16,1.907,139.2,35.83,8.63,15.77954,37.03,25.6,88.2,38.85,0,0,4.678216,6.151837,4.678216,6.151837,1,1
07/23/20,897,12.14,1.708,106.6,43.13,6.63,16.65369,38.13,23.16,96.2,32.48,0,0,4.880031,6.465682,4.880031,6.465682,1,1
07/24/20,898,12.17,2.542,60.83,28.08,11.53,14.7259,36.56,24.28,87.7,42.58,0,0,4.849548,6.715709,4.849548,6.715709,1,1
07/25/20,899,12.11,2.332,79.9,31.41,12.19,13.07124,33.91,23.71,95.6,50.92,3.8,4.1,3.616399,4.799452,3.616399,4.799452,1,1
07/26/20,900,12.13,1.758,96.5,52.45,9.06,10.04522,34.79,22.39,97,47.77,13.5,13.2,2.47645,3.100864,2.47645,3.100864,1,1
07/27/20,901,12.15,1.366,123.8,60.28,6.35,12.33208,36.2,22.78,99.1,43.4,0,0,3.353952,4.235988,3.353952,4.235988,1,1
07/28/20,902,12.12,1.771,173.3,52.31,8.05,11.47112,34.66,22.82,100,47.77,1.7,1.7,3.189488,4.165542,3.189488,4.165542,1,1
07/29/20,903,12.17,3.082,187.1,19.72,12.15,15.08594,36.76,23.23,97.1,38.18,0,0,4.664425,6.380532,4.664425,6.380532,1,1
07/30/20,904,12.17,3.395,193.4,17.59,10.59,16.38957,36.96,23.77,96.6,38.72,0,0,5.7202,8.08896,5.7202,8.08896,1,1
